ID_ENTIDAD;GUID_ENTIDAD;RUC;RAZON_SOCIAL;NOMBRE_COMERCIAL
1;4E0E8E3E-0CF5-44B1-B0DC-A37A0A4A8FFF;20148092282;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
2;C35E6B46-CC5C-471B-989F-4A712266963B;20143660754;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA;UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA
3;9BA71125-110B-4474-ABD9-4C2CC60F72A9;20172474501;UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO;UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO
4;CF5F8EBE-169D-4B78-B7F7-E74BF2CE9AA0;20172557628;UNIVERSIDAD NACIONAL DE TRUJILLO;UNIVERSIDAD NACIONAL DE TRUJILLO
5;BCFED468-7445-4854-A0E9-57E02FE44855;20163646499;UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA;UNIVERSIDAD NACIONAL DE SAN AGUSTÍN
6;EFA9C78A-06F3-4CF2-85AB-DD8C39556F0F;20169004359;UNIVERSIDAD NACIONAL DE INGENIERIA;UNIVERSIDAD NACIONAL DE INGENIERÍA
7;FCFCAE5C-77A9-478D-9E5F-5CDB53A112CD;20147897406;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA
8;50E96ACF-EDBF-4AF6-803C-76B0A67E58BB;20155945860;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ
9;8290754D-96A7-432D-884B-72A007D17C8E;20148421014;UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA;UNIVERSIDAD NACIONAL SAN LUIS GONZAGA
10;89B506DC-5DFB-4F21-ADC6-C71210F0C464;20145561095;UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU;UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ
11;F0213D94-32AB-4963-B312-64B20C2DEFF7;20180260316;UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA;UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA
12;22604658-669E-457C-BC43-4D2F39B561DE;20145496170;UNIVERSIDAD NACIONAL DEL ALTIPLANO;UNIVERSIDAD NACIONAL DEL ALTIPLANO
13;7C34A3A9-3E5F-4587-A9FA-52F2DE9D983A;20172606777;UNIVERSIDAD NACIONAL DE PIURA;UNIVERSIDAD NACIONAL DE PIURA
14;7BE461BA-9A82-47D2-A78C-98F54CDC5444;20110768151;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD PERUANA CAYETANO HEREDIA
15;24694F41-EFDF-4CD5-B1E0-78ED83665AA5;20141637941;UNIVERSIDAD CATÓLICA DE SANTA MARIA;UNIVERSIDAD CATÓLICA DE SANTA MARÍA
16;34DF47BF-CD6E-4FC9-BE6C-0FF8EE8FE084;20148258601;UNIVERSIDAD NACIONAL DE CAJAMARCA;UNIVERSIDAD NACIONAL DE CAJAMARCA
17;D55DDF2B-F29A-4603-972D-D325521F6637;20109705129;UNIVERSIDAD DEL PACIFICO;UNIVERSIDAD DEL PACÍFICO
18;25322939-3B42-4864-913F-9D0B719460AB;20107798049;UNIVERSIDAD DE LIMA;UNIVERSIDAD DE LIMA
19;0CE6DA96-5D72-4BC9-B8BB-26675ABD45BB;20138149022;UNIVERSIDAD DE SAN MARTIN DE PORRES;UNIVERSIDAD DE SAN MARTÍN DE PORRES
20;3C0C9C48-9901-41DA-B703-4877610C84A7;20141230329;UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON;UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN
21;EC3C9335-AC2A-4DAD-BC99-007D05C32FF3;12121035645;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL
22;B343A30F-6B6C-475A-AC7A-2F69D25AAB0B;20172356720;UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA;UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA
23;E019B64E-E1F5-4F6A-8C22-32F020203F61;20172383531;UNIVERSIDAD NACIONAL HERMILIO VALDIZAN;UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN
24;3C4DBC85-61E2-44DA-8016-77771BD74773;20108383471;UNIVERSIDAD INCA GARCILAZO DE LA VEGA;UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL
25;10FC288D-E96E-421C-A426-1A5F82AC7880;20174950971;UNIVERSIDAD ENRIQUE GUZMAN Y VALLE;UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE
