"projectKey","issueKey","type","severity","status","resolution","component","line","rule","message","effort","debt","author","creationDate","updateDate","tags","url"
"si091_reginsa_enlinea","AZzi3KJWHru0ZB8CXAdo","BUG","MAJOR","OPEN",,"si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","20","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2025-12-29T22:33:14+0000","2026-03-12T16:23:30+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdo&open=AZzi3KJWHru0ZB8CXAdo"
"si091_reginsa_enlinea","AZzi3KJWHru0ZB8CXAdw","BUG","MAJOR","OPEN",,"si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","104","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2025-12-02T20:04:31+0000","2026-03-12T16:23:30+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdw&open=AZzi3KJWHru0ZB8CXAdw"
"si091_reginsa_enlinea","AZzi3KJWHru0ZB8CXAdu","BUG","MAJOR","OPEN",,"si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","102","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2025-12-01T22:29:34+0000","2026-03-12T16:23:30+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdu&open=AZzi3KJWHru0ZB8CXAdu"
"si091_reginsa_enlinea","AZzi3KJWHru0ZB8CXAdv","BUG","MAJOR","OPEN",,"si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","103","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2025-12-01T22:29:34+0000","2026-03-12T16:23:30+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdv&open=AZzi3KJWHru0ZB8CXAdv"
"si091_reginsa_enlinea","AZzi3KJWHru0ZB8CXAdx","BUG","MAJOR","OPEN",,"si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","105","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2025-12-01T22:29:34+0000","2026-03-12T16:23:30+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdx&open=AZzi3KJWHru0ZB8CXAdx"
"si091_reginsa_enlinea","AZzi3KJWHru0ZB8CXAdy","BUG","MAJOR","OPEN",,"si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","106","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2025-12-01T22:29:34+0000","2026-03-12T16:23:30+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdy&open=AZzi3KJWHru0ZB8CXAdy"
"si091_reginsa_enlinea","AZzi3KJWHru0ZB8CXAdz","BUG","MAJOR","OPEN",,"si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","107","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2025-12-01T22:29:34+0000","2026-03-12T16:23:30+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdz&open=AZzi3KJWHru0ZB8CXAdz"
"si091_reginsa_enlinea","AZzi3KJWHru0ZB8CXAd0","BUG","MAJOR","OPEN",,"si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","108","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2025-12-01T22:29:34+0000","2026-03-12T16:23:30+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAd0&open=AZzi3KJWHru0ZB8CXAd0"
"si091_reginsa_enlinea","AZzi3KJWHru0ZB8CXAd1","BUG","MAJOR","OPEN",,"si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","144","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2025-12-01T22:29:34+0000","2026-03-12T16:23:30+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAd1&open=AZzi3KJWHru0ZB8CXAd1"
"si091_reginsa_enlinea","AZzi3KJWHru0ZB8CXAd2","BUG","MAJOR","OPEN",,"si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","145","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2025-12-01T22:29:34+0000","2026-03-12T16:23:30+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAd2&open=AZzi3KJWHru0ZB8CXAd2"
