"projectKey","issueKey","type","severity","status","resolution","component","line","rule","message","effort","debt","author","creationDate","updateDate","tags","url"
"si091_reginsa_frontend","AZzie9idHru0ZB8CW9ip","CODE_SMELL","MAJOR","OPEN",,"si091_reginsa_frontend:src/app/app.component.scss","1","css:S4667","Unexpected empty source","1min","1min","","2026-03-12T14:36:49+0000","2026-03-12T14:36:49+0000","","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9idHru0ZB8CW9ip&open=AZzie9idHru0ZB8CW9ip"
"si091_reginsa_frontend","AZzie9OwHru0ZB8CW9co","CODE_SMELL","MAJOR","OPEN",,"si091_reginsa_frontend:src/assets/layout/styles/theme/theme-base/components/misc/_blockui.scss","1","css:S4667","Unexpected empty source","1min","1min","","2026-03-12T14:36:49+0000","2026-03-12T14:36:49+0000","","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9OwHru0ZB8CW9co&open=AZzie9OwHru0ZB8CW9co"
"si091_reginsa_frontend","AZzie9d1Hru0ZB8CW9hh","CODE_SMELL","CRITICAL","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","758","typescript:S3776","Refactor this function to reduce its Cognitive Complexity from 35 to the 15 allowed.","25min","25min","julioaylas@sunedu.gob.pe","2026-02-06T16:55:48+0000","2026-03-12T14:36:49+0000","brain-overload","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d1Hru0ZB8CW9hh&open=AZzie9d1Hru0ZB8CW9hh"
"si091_reginsa_frontend","AZzie9d1Hru0ZB8CW9hy","CODE_SMELL","CRITICAL","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","2528","typescript:S3776","Refactor this function to reduce its Cognitive Complexity from 46 to the 15 allowed.","36min","36min","julioaylas@sunedu.gob.pe","2026-02-06T16:55:48+0000","2026-03-12T14:36:49+0000","brain-overload","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d1Hru0ZB8CW9hy&open=AZzie9d1Hru0ZB8CW9hy"
"si091_reginsa_frontend","AZzie9c9Hru0ZB8CW9gz","BUG","MAJOR","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.html","109","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2026-02-02T23:06:09+0000","2026-03-12T14:36:49+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9c9Hru0ZB8CW9gz&open=AZzie9c9Hru0ZB8CW9gz"
"si091_reginsa_frontend","AZzie9c9Hru0ZB8CW9g0","BUG","MAJOR","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.html","110","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2026-02-02T23:06:09+0000","2026-03-12T14:36:49+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9c9Hru0ZB8CW9g0&open=AZzie9c9Hru0ZB8CW9g0"
"si091_reginsa_frontend","AZzie9c9Hru0ZB8CW9g1","BUG","MAJOR","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.html","111","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2026-02-02T23:06:09+0000","2026-03-12T14:36:49+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9c9Hru0ZB8CW9g1&open=AZzie9c9Hru0ZB8CW9g1"
"si091_reginsa_frontend","AZzie9c9Hru0ZB8CW9g2","BUG","MAJOR","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.html","112","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2026-02-02T23:06:09+0000","2026-03-12T14:36:49+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9c9Hru0ZB8CW9g2&open=AZzie9c9Hru0ZB8CW9g2"
"si091_reginsa_frontend","AZzie9c9Hru0ZB8CW9g3","BUG","MAJOR","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.html","113","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2026-02-02T23:06:09+0000","2026-03-12T14:36:49+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9c9Hru0ZB8CW9g3&open=AZzie9c9Hru0ZB8CW9g3"
"si091_reginsa_frontend","AZzie9c9Hru0ZB8CW9g4","BUG","MAJOR","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.html","114","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2026-02-02T23:06:09+0000","2026-03-12T14:36:49+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9c9Hru0ZB8CW9g4&open=AZzie9c9Hru0ZB8CW9g4"
"si091_reginsa_frontend","AZzie9c9Hru0ZB8CW9g6","BUG","MAJOR","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.html","116","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2026-02-02T23:06:09+0000","2026-03-12T14:36:49+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9c9Hru0ZB8CW9g6&open=AZzie9c9Hru0ZB8CW9g6"
"si091_reginsa_frontend","AZzie9c9Hru0ZB8CW9g7","BUG","MAJOR","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.html","117","Web:TableHeaderHasIdOrScopeCheck","Add either an 'id' or a 'scope' attribute to this <th> tag.","10min","10min","julioaylas@sunedu.gob.pe","2026-02-02T23:06:09+0000","2026-03-12T14:36:49+0000","accessibility;wcag2-a","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9c9Hru0ZB8CW9g7&open=AZzie9c9Hru0ZB8CW9g7"
"si091_reginsa_frontend","AZzie9d1Hru0ZB8CW9hw","CODE_SMELL","MINOR","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","2251","typescript:S4325","This assertion is unnecessary since it does not change the type of the expression.","1min","1min","julioaylas@sunedu.gob.pe","2026-02-02T23:06:09+0000","2026-03-12T14:36:49+0000","redundant","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d1Hru0ZB8CW9hw&open=AZzie9d1Hru0ZB8CW9hw"
"si091_reginsa_frontend","AZzie9d1Hru0ZB8CW9hj","CODE_SMELL","CRITICAL","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","1366","typescript:S3776","Refactor this function to reduce its Cognitive Complexity from 41 to the 15 allowed.","31min","31min","julioaylas@sunedu.gob.pe","2026-01-23T23:01:51+0000","2026-03-12T14:36:49+0000","brain-overload","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d1Hru0ZB8CW9hj&open=AZzie9d1Hru0ZB8CW9hj"
"si091_reginsa_frontend","AZzie9d1Hru0ZB8CW9hr","BUG","CRITICAL","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","1915","typescript:S4335","Simplify this intersection as it always has type ""any"".","5min","5min","julioaylas@sunedu.gob.pe","2026-01-23T23:01:51+0000","2026-03-12T14:36:49+0000","pitfall","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d1Hru0ZB8CW9hr&open=AZzie9d1Hru0ZB8CW9hr"
"si091_reginsa_frontend","AZzie9d2Hru0ZB8CW9hz","CODE_SMELL","MINOR","OPEN",,"si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","2675","typescript:S4325","This assertion is unnecessary since it does not change the type of the expression.","1min","1min","julioaylas@sunedu.gob.pe","2026-01-23T23:01:51+0000","2026-03-12T14:36:49+0000","redundant","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d2Hru0ZB8CW9hz&open=AZzie9d2Hru0ZB8CW9hz"
