"ID","Proyecto","Hallazgo","Tipo","Severidad","ImpactoTecnico","ImpactoNegocio","Recomendacion","Responsable","SLA","Estado","Prioridad","URL"
"SONAR-001","si091_reginsa_enlinea","Add either an 'id' or a 'scope' attribute to this <th> tag.","BUG","MAJOR","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla Web:TableHeaderHasIdOrScopeCheck en si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","Equipo Enlinea","21 dias","Pendiente","Media","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdq&open=AZzi3KJWHru0ZB8CXAdq"
"SONAR-002","si091_reginsa_enlinea","Add either an 'id' or a 'scope' attribute to this <th> tag.","BUG","MAJOR","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla Web:TableHeaderHasIdOrScopeCheck en si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","Equipo Enlinea","21 dias","Pendiente","Media","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdp&open=AZzi3KJWHru0ZB8CXAdp"
"SONAR-003","si091_reginsa_enlinea","Add either an 'id' or a 'scope' attribute to this <th> tag.","BUG","MAJOR","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla Web:TableHeaderHasIdOrScopeCheck en si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","Equipo Enlinea","21 dias","Pendiente","Media","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdr&open=AZzi3KJWHru0ZB8CXAdr"
"SONAR-004","si091_reginsa_enlinea","Add either an 'id' or a 'scope' attribute to this <th> tag.","BUG","MAJOR","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla Web:TableHeaderHasIdOrScopeCheck en si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","Equipo Enlinea","21 dias","Pendiente","Media","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdt&open=AZzi3KJWHru0ZB8CXAdt"
"SONAR-005","si091_reginsa_enlinea","Add either an 'id' or a 'scope' attribute to this <th> tag.","BUG","MAJOR","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla Web:TableHeaderHasIdOrScopeCheck en si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","Equipo Enlinea","21 dias","Pendiente","Media","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAds&open=AZzi3KJWHru0ZB8CXAds"
"SONAR-006","si091_reginsa_enlinea","Add either an 'id' or a 'scope' attribute to this <th> tag.","BUG","MAJOR","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla Web:TableHeaderHasIdOrScopeCheck en si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","Equipo Enlinea","21 dias","Pendiente","Media","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAd1&open=AZzi3KJWHru0ZB8CXAd1"
"SONAR-007","si091_reginsa_enlinea","Add either an 'id' or a 'scope' attribute to this <th> tag.","BUG","MAJOR","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla Web:TableHeaderHasIdOrScopeCheck en si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","Equipo Enlinea","21 dias","Pendiente","Media","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAd2&open=AZzi3KJWHru0ZB8CXAd2"
"SONAR-008","si091_reginsa_enlinea","Add either an 'id' or a 'scope' attribute to this <th> tag.","BUG","MAJOR","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla Web:TableHeaderHasIdOrScopeCheck en si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","Equipo Enlinea","21 dias","Pendiente","Media","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAd0&open=AZzi3KJWHru0ZB8CXAd0"
"SONAR-009","si091_reginsa_enlinea","Add either an 'id' or a 'scope' attribute to this <th> tag.","BUG","MAJOR","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla Web:TableHeaderHasIdOrScopeCheck en si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","Equipo Enlinea","21 dias","Pendiente","Media","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdv&open=AZzi3KJWHru0ZB8CXAdv"
"SONAR-010","si091_reginsa_enlinea","Add either an 'id' or a 'scope' attribute to this <th> tag.","BUG","MAJOR","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla Web:TableHeaderHasIdOrScopeCheck en si091_reginsa_enlinea:src/package/module/Reginsa/reginsa.component.html","Equipo Enlinea","21 dias","Pendiente","Media","http://localhost:9000/project/issues?id=si091_reginsa_enlinea&issues=AZzi3KJWHru0ZB8CXAdu&open=AZzi3KJWHru0ZB8CXAdu"
