"ID","Proyecto","Hallazgo","Tipo","Severidad","ImpactoTecnico","ImpactoNegocio","Recomendacion","Responsable","SLA","Estado","Prioridad","URL"
"SONAR-001","si091_reginsa_frontend","Unexpected var, use let or const instead.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3504 en si091_reginsa_frontend:src/app/services/security/global.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9g8Hru0ZB8CW9iW&open=AZzie9g8Hru0ZB8CW9iW"
"SONAR-002","si091_reginsa_frontend","Unexpected var, use let or const instead.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3504 en si091_reginsa_frontend:src/app/services/security/global.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9g8Hru0ZB8CW9iV&open=AZzie9g8Hru0ZB8CW9iV"
"SONAR-003","si091_reginsa_frontend","Unexpected var, use let or const instead.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3504 en si091_reginsa_frontend:src/app/services/security/global.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9g8Hru0ZB8CW9iX&open=AZzie9g8Hru0ZB8CW9iX"
"SONAR-004","si091_reginsa_frontend","Unexpected empty constructor.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S1186 en si091_reginsa_frontend:src/app/services/security/encryption.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9g2Hru0ZB8CW9iQ&open=AZzie9g2Hru0ZB8CW9iQ"
"SONAR-005","si091_reginsa_frontend","Unexpected var, use let or const instead.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3504 en si091_reginsa_frontend:src/app/services/security/authentication.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9hIHru0ZB8CW9ie&open=AZzie9hIHru0ZB8CW9ie"
"SONAR-006","si091_reginsa_frontend","Unexpected var, use let or const instead.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3504 en si091_reginsa_frontend:src/app/services/security/global.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9g8Hru0ZB8CW9iR&open=AZzie9g8Hru0ZB8CW9iR"
"SONAR-007","si091_reginsa_frontend","Unexpected var, use let or const instead.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3504 en si091_reginsa_frontend:src/app/services/security/global.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9g8Hru0ZB8CW9iT&open=AZzie9g8Hru0ZB8CW9iT"
"SONAR-008","si091_reginsa_frontend","Unexpected var, use let or const instead.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3504 en si091_reginsa_frontend:src/app/services/security/global.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9g8Hru0ZB8CW9iS&open=AZzie9g8Hru0ZB8CW9iS"
"SONAR-009","si091_reginsa_frontend","Unexpected empty constructor.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S1186 en si091_reginsa_frontend:src/app/services/sweetaltert2.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9gwHru0ZB8CW9iP&open=AZzie9gwHru0ZB8CW9iP"
"SONAR-010","si091_reginsa_frontend","Unexpected var, use let or const instead.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3504 en si091_reginsa_frontend:src/app/services/security/global.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9g8Hru0ZB8CW9ia&open=AZzie9g8Hru0ZB8CW9ia"
"SONAR-011","si091_reginsa_frontend","Unexpected var, use let or const instead.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3504 en si091_reginsa_frontend:src/app/services/security/global.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9g8Hru0ZB8CW9iZ&open=AZzie9g8Hru0ZB8CW9iZ"
"SONAR-012","si091_reginsa_frontend","Unexpected var, use let or const instead.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3504 en si091_reginsa_frontend:src/app/services/security/global.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9g8Hru0ZB8CW9iY&open=AZzie9g8Hru0ZB8CW9iY"
"SONAR-013","si091_reginsa_frontend","Unexpected var, use let or const instead.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3504 en si091_reginsa_frontend:src/app/components/landing/landing.component.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9eYHru0ZB8CW9h8&open=AZzie9eYHru0ZB8CW9h8"
